zaretzki_index,molecule_title,atomic_index,zaretzki_atomic_index,atomic_number,hydrogen_neighbor,is_aromatic,heavy_atoms,double_bonded,ir,relative_ir,bde,sasa_hydrogen_maestro,primary_som,secondary_som,tertiary_som,som,som_level
016,CLARITHROMYCIN,1,16001,6,1,0,52,0,0.546,0.6426497756664028,91.16,0.0707886612985232,0,0,0,0,0
016,CLARITHROMYCIN,3,16003,6,1,0,52,0,-1.869,0.4301926629717604,90.5,2.2865434092008,0,0,0,0,0
016,CLARITHROMYCIN,5,16005,6,2,0,52,0,-2.104,0.40951878244039763,94.77,4.312931807450819,0,0,0,0,0
016,CLARITHROMYCIN,7,16007,6,3,0,52,0,-3.994,0.24324799859241664,101.71,4.61713839188825,0,0,0,0,0
016,CLARITHROMYCIN,8,16008,6,1,0,52,0,0.019,0.5962874989003255,95.28,0.0,0,0,0,0,0
016,CLARITHROMYCIN,9,16009,6,3,0,52,0,-4.357,0.21131345121843934,100.3,13.437315995234835,0,0,0,0,0
016,CLARITHROMYCIN,10,16010,6,1,0,52,0,-1.548,0.4584323040380047,94.14,9.418602270798,0,0,0,0,0
016,CLARITHROMYCIN,11,16011,6,1,0,52,0,-2.705,0.3566464326559338,83.87,8.21145295469898,0,0,0,0,0
016,CLARITHROMYCIN,12,16012,6,3,0,52,0,3.048,0.8627606228556347,94.85,22.818554144317577,0,0,0,0,0
016,CLARITHROMYCIN,14,16014,6,1,0,52,0,-1.728,0.442596991290578,83.76,0.0,0,0,0,0,0
016,CLARITHROMYCIN,15,16015,6,1,0,52,0,-5.068,0.1487639658661037,89.61,14.0488714537596,0,0,0,0,0
016,CLARITHROMYCIN,18,16018,6,3,0,52,0,-5.038,0.15140318465734143,100.64,3.210765141623946,0,0,0,0,0
016,CLARITHROMYCIN,19,16019,6,1,0,52,0,-1.851,0.43177619424650304,92.1,2.05051670418319,0,0,0,0,0
