zaretzki_index,molecule_title,atomic_index,zaretzki_atomic_index,atomic_number,hydrogen_neighbor,is_aromatic,heavy_atoms,double_bonded,ir,relative_ir,bde,relative_bde,sasa,relative_sasa,sasa_maestro,sasa_hydrogen_maestro,relative_sasa_hydrogen_maestro,eamin,eamax,iemin,iemax,ieavg,espmin,espmax,relative_eamin,relative_eamax,relative_iemin,relative_iemax,relative_ieavg,relative_espmin,relative_espmax,primary_som,secondary_som,tertiary_som,som,som_level
18,CORTISOL,1,18001,6,1,0,26,0,-7.964,0.0388515316469205,94.26,0.5261715538503701,5.694575830932513,0.1098522170904037,0.0,6.34614797964887,0.2380713434167173,-31.34570511,-19.94937336,10.114311,12.800786,10.885474,-12.58123197,11.37004664,0.9289025515512545,0.6802348937762261,0.4971684893022139,0.1638524066942575,0.03659984812192,0.4627150894411853,0.0467086327026167,0,0,0,0,0
18,CORTISOL,2,18002,6,1,0,26,0,-8.328,0.0,91.11,0.4398465332967936,1.1480534209939075,0.0221467265304203,0.0,1.0021769883389,0.0,-34.50436199,-24.13844554,9.002073,12.530358,10.782382,-6.73677259,11.19395952,0.7086996783502281,0.0,0.0,0.072129600674011,0.0,0.6350466831213565,0.0426591919343015,0,0,0,0,0
18,CORTISOL,4,18004,6,2,0,26,0,-8.232,0.01024655779699,95.22,0.5524801315428884,28.094899078826547,0.5419695942893158,1.31251373747897,18.4846216048399,0.7788345189049205,-33.286716125,-19.86469628,10.906826,13.1954085,11.6481175,5.640266295,17.86804542,0.793586745290639,0.6939850279453348,0.8514213428275769,0.2976990609561109,0.3073544776874484,1.0,0.1961418290215435,0,0,0,0,0
18,CORTISOL,5,18005,6,1,0,26,0,-7.45,0.0937133098516383,90.15,0.4135379556042753,3.3353359197567376,0.0643408844494287,0.0,4.27287786926927,0.1457081548353354,-30.32586172,-20.94826687,10.37481,12.317697,10.957196,-6.57547524,30.86311809,1.0,0.5180313815253074,0.6136110980736612,0.0,0.0620626804173486,0.6398027482378342,0.4949869521464863,0,0,0,0,0
18,CORTISOL,6,18006,6,2,0,26,0,-8.084,0.026043334400683,96.69,0.5927651411345574,25.54911599182039,0.4928597176906433,0.706539178660267,16.710124848903348,0.6997815399008438,-34.01594491,-19.994883365,10.2591235,13.5143935,11.555547,3.823151095,15.28821389,0.7427492280235232,0.6728448340955331,0.5618994298536759,0.4058912573202756,0.2744899853837764,0.9464199615471596,0.1368139521560068,0,0,0,0,0
18,CORTISOL,8,18008,6,2,0,26,0,-7.452,0.0934998398975343,97.96,0.6275691970402849,14.199881554672588,0.2739253137571221,0.0239957172473032,10.46243886858915,0.4214501273617599,-35.525952725,-21.9272402,10.8181905,13.041362,11.411271,-16.188543085,12.843200555,0.6374804153441913,0.3590625716008368,0.8118014254775622,0.2454501176603063,0.223268943133765,0.356348763160354,0.0805864627301857,0,0,0,0,0
18,CORTISOL,9,18009,6,3,0,26,0,-5.428,0.3095314334507417,100.94,0.7092354069608111,40.152312210563565,0.7745652439427091,4.18504889763799,17.371624094032335,0.7292510138581487,-36.41537228333333,-21.03934505,10.568008333333331,13.071937333333333,11.320369,-21.96277341333333,9.33895418,0.5754753449402832,0.503241816333898,0.6999704236128342,0.2558205503386446,0.1909968037439116,0.1860879657009212,0.0,0,0,0,0,0
18,CORTISOL,10,18010,6,2,0,26,0,-7.238,0.116341124986658,96.24,0.5804329953411892,23.67175138064894,0.4566440853157073,1.27632054023942,17.25569876826865,0.7240865962208787,-35.342922045,-20.05955705,10.959534,13.4499445,11.8341035,-11.329825985,25.33280252,0.6502402316683804,0.6623429149698298,0.874981728944705,0.3840316750092766,0.3733834552298714,0.4996144455174619,0.3678073757481315,0,0,0,0,0
18,CORTISOL,12,18012,6,1,0,26,0,-7.442,0.0945671896680541,88.7,0.3738010413812004,2.9378480261213724,0.0566730742948506,0.0,3.61655638282693,0.1164693475430296,-36.53995728,-20.98559092,10.577626,13.344272,11.526967,-9.21790734,26.93136371,0.5667900159330562,0.5119705833112629,0.704269504211842,0.3481900527690703,0.2643434787748789,0.5618871523928269,0.4045691721443269,0,0,0,0,0
18,CORTISOL,13,18013,6,2,0,26,0,0.814,0.9757711602092004,80.78,0.1567552754179227,29.875646993914536,0.5763214252876742,1.99078586390984,20.04436145863325,0.8483201809672726,-32.939169535000005,-18.809670435,10.6462645,13.5684665,11.8451615,2.10291791,17.68408129,0.8178156376954442,0.8653034876823421,0.7349507966627115,0.4242315449011943,0.3773092799353009,0.8956966170942862,0.1919112422078706,1,0,0,1,3
