zaretzki_index,molecule_title,sasa_hydrogen_maestro,som,sasa_rank
16,CLARITHROMYCIN,0.0707886612985232,0,6.0
16,CLARITHROMYCIN,2.2865434092008,0,9.0
16,CLARITHROMYCIN,4.312931807450819,0,11.0
16,CLARITHROMYCIN,4.61713839188825,0,12.0
16,CLARITHROMYCIN,0.0,0,2.0
16,CLARITHROMYCIN,13.437315995234837,0,23.0
16,CLARITHROMYCIN,9.418602270798,0,19.0
16,CLARITHROMYCIN,8.21145295469898,0,16.0
16,CLARITHROMYCIN,22.818554144317577,0,31.0
16,CLARITHROMYCIN,0.0,0,2.0
16,CLARITHROMYCIN,14.0488714537596,0,24.0
16,CLARITHROMYCIN,3.210765141623946,0,10.0
16,CLARITHROMYCIN,2.05051670418319,0,8.0
16,CLARITHROMYCIN,10.231252663173889,0,21.0
16,CLARITHROMYCIN,0.0003292293434716,0,4.0
16,CLARITHROMYCIN,0.001868400081626,0,5.0
16,CLARITHROMYCIN,0.0,0,2.0
16,CLARITHROMYCIN,7.27531543461321,0,15.0
16,CLARITHROMYCIN,9.47131563338906,0,20.0
16,CLARITHROMYCIN,22.9728288884224,0,32.0
16,CLARITHROMYCIN,10.8723351725575,0,22.0
16,CLARITHROMYCIN,21.2977684868591,0,28.0
16,CLARITHROMYCIN,6.46550601135241,0,14.0
16,CLARITHROMYCIN,0.613572677723015,0,7.0
16,CLARITHROMYCIN,21.7460263595393,1,29.0
16,CLARITHROMYCIN,21.79333124369677,1,30.0
16,CLARITHROMYCIN,8.88694248578219,0,17.0
16,CLARITHROMYCIN,21.261694916889667,0,27.0
16,CLARITHROMYCIN,20.283347003735237,0,25.0
16,CLARITHROMYCIN,8.922425273941904,0,18.0
16,CLARITHROMYCIN,6.4240640163437766,0,13.0
16,CLARITHROMYCIN,20.6544173510027,0,26.0
16,CLARITHROMYCIN,23.597624435365105,0,33.0
18,CORTISOL,6.30887972385769,0,4.0
18,CORTISOL,1.10547633443236,0,1.0
18,CORTISOL,18.46555492883,0,10.0
18,CORTISOL,4.34068499828991,0,3.0
18,CORTISOL,16.7517541324091,0,7.0
18,CORTISOL,10.32408197859029,0,5.0
18,CORTISOL,17.069516321574266,0,8.0
